wall_time,sim_time,frame,dt,steer_raw,steer_cmd,throttle,brake,reverse,speed_kmh,loc_x,loc_y,loc_z,yaw,cte,heading_err_deg,lane_width,curvature,on_junction,kss,sleep_hours,session_type,input_device,event_flag
1781543374.839400,212.0261,6634,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.764,-494.250,240.908,0.267,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543374.894447,212.0761,6635,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.528,-494.250,240.908,0.228,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543374.986512,212.1261,6636,0.0500,0.00000,0.00000,0.0000,0.0000,0,5.292,-494.250,240.908,0.164,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.036039,212.1761,6637,0.0500,0.00000,0.00000,0.0000,0.0000,0,7.056,-494.250,240.908,0.076,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.088075,212.2261,6638,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.324,-494.250,240.908,0.010,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.141663,212.2761,6639,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.244,-494.250,240.908,-0.017,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.192701,212.3261,6640,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.251,-494.250,240.908,-0.025,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.244228,212.3761,6641,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.176,-494.250,240.908,-0.025,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.294871,212.4261,6642,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.320,-494.250,240.908,-0.021,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.346411,212.4761,6643,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.333,-494.250,240.908,-0.016,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.396016,212.5261,6644,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.291,-494.250,240.908,-0.012,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.447222,212.5761,6645,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.235,-494.250,240.908,-0.008,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.498422,212.6261,6646,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.180,-494.250,240.908,-0.005,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.550050,212.6761,6647,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.133,-494.250,240.908,-0.003,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.601084,212.7261,6648,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.096,-494.250,240.908,-0.002,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.652611,212.7761,6649,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.068,-494.250,240.908,-0.001,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.701291,212.8261,6650,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.048,-494.250,240.908,0.000,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.751822,212.8761,6651,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.033,-494.250,240.908,0.001,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.802866,212.9261,6652,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.023,-494.250,240.908,0.001,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
1781543375.852905,212.9761,6653,0.0500,0.00000,0.00000,1.0000,0.0000,0,0.015,-494.250,240.908,0.001,-90.134,0.0000,-0.000,3.500,0.0000,0,1,5.0,alert,mouse_kb,0
