wall_time,sim_time,frame,dt,steer_raw,steer_cmd,throttle,brake,reverse,speed_kmh,loc_x,loc_y,loc_z,yaw,cte,heading_err_deg,lane_width,curvature,on_junction,kss,sleep_hours,session_type,input_device,event_flag
1781546268.585124,3092.8441,353985,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.764,391.731,-102.032,0.267,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.645191,3092.8941,353986,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.528,391.731,-102.032,0.228,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.742777,3092.9441,353987,0.0500,0.00000,0.00000,0.0000,0.0000,0,5.292,391.731,-102.032,0.164,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.792906,3092.9941,353988,0.0500,0.00000,0.00000,0.0000,0.0000,0,7.056,391.731,-102.032,0.076,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.842843,3093.0441,353989,0.0500,0.00000,0.00000,0.0000,0.0000,0,3.324,391.731,-102.032,0.010,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.892412,3093.0941,353990,0.0500,0.00000,0.00000,0.0000,0.0000,0,1.244,391.731,-102.032,-0.017,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.943952,3093.1441,353991,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.251,391.731,-102.032,-0.025,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546268.993986,3093.1941,353992,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.176,391.731,-102.032,-0.025,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546269.043514,3093.2441,353993,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.320,391.731,-102.032,-0.021,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
1781546269.095068,3093.2941,353994,0.0500,0.00000,0.00000,0.0000,0.0000,0,0.333,391.731,-102.032,-0.016,90.439,0.0565,-0.160,3.500,0.0000,0,5,5.0,drowsy,mouse_kb,0
